index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by,New,PendingS,Amount_raw,Amount_clean,Month,Year,Day,DayOfWeek
8,407-5443024-5233168,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,3XL,Cancelled,0,,0.0,HYDERABAD,TELANGANA,500008.0,IN,False,,,,nan,,4,2022,30,Saturday
29,404-5933402-8801952,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,3XL,On the Way,0,,0.0,GUWAHATI,ASSAM,781003.0,IN,False,Easy Ship,,,nan,,4,2022,30,Saturday
65,171-4137548-0481151,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XXL,Cancelled,0,,0.0,Dahod,Gujarat,389151.0,IN,False,,,,nan,,4,2022,30,Saturday
84,403-9950518-0349133,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,M,Cancelled,0,,0.0,HYDERABAD,TELANGANA,500072.0,IN,False,,,,nan,,4,2022,30,Saturday
95,405-9112089-3379536,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,L,Cancelled,0,,0.0,PUNE,MAHARASHTRA,411046.0,IN,False,,,,nan,,4,2022,30,Saturday
101,402-7841951-1872363,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,S,Cancelled,0,,0.0,NEW DELHI,DELHI,110036.0,IN,False,,,,nan,,4,2022,30,Saturday
132,171-0293372-4913973,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,3XL,Cancelled,0,,0.0,KOLAR,KARNATAKA,563101.0,IN,False,,,,nan,,4,2022,30,Saturday
139,403-6442534-2769112,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Trousers,3XL,Cancelled,0,,0.0,AZAMGARH,UTTAR PRADESH,276302.0,IN,False,,,,nan,,4,2022,30,Saturday
155,402-8078642-8565124,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XL,Cancelled,0,,0.0,Puri-2,ODISHA,752002.0,IN,False,,,,nan,,4,2022,30,Saturday
165,406-0218328-1773963,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,6XL,Cancelled,0,,0.0,WALAJAPET,TAMIL NADU,632513.0,IN,False,,,,nan,,4,2022,30,Saturday
8,407-5443024-5233168,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,3XL,Cancelled,0,,0.0,HYDERABAD,TELANGANA,500008.0,IN,False,,,,nan,,4,2022,30,Saturday
215,403-5456917-5571511,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XL,Cancelled,0,,0.0,GHAZIABAD,UTTAR PRADESH,201014.0,IN,False,,,,nan,,4,2022,30,Saturday
242,404-0634392-1837110,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Trousers,S,Cancelled,0,,0.0,KARANJA,MAHARASHTRA,444105.0,IN,False,,,,nan,,4,2022,30,Saturday
249,404-8514200-3544346,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,M,Cancelled,0,,0.0,BENGALURU,KARNATAKA,560036.0,IN,False,,,,nan,,4,2022,30,Saturday
250,404-7452877-2137949,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,Shirt,M,On the Way,0,,0.0,BENGALURU,KARNATAKA,560036.0,IN,False,Easy Ship,,,nan,,4,2022,30,Saturday
271,404-1607808-0769930,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,XL,Cancelled,0,,0.0,PATNA,BIHAR,800001.0,IN,False,,,,nan,,4,2022,30,Saturday
328,402-1365379-0131533,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,M,Cancelled,0,,0.0,KAMAREDDY,TELANGANA,503111.0,IN,False,,,,nan,,4,2022,30,Saturday
363,171-9620288-8918704,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,L,Cancelled,0,,0.0,BAGESHWAR,UTTARAKHAND,263642.0,IN,False,,,,nan,,4,2022,30,Saturday
381,404-4026534-0431517,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,3XL,Cancelled,0,,0.0,SOLAPUR,MAHARASHTRA,413001.0,IN,False,,,,nan,,4,2022,30,Saturday
413,171-5542306-9306709,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XL,Cancelled,0,,0.0,"Chinchwad ,Pune",MAHARASHTRA,411019.0,IN,False,,,,nan,,4,2022,30,Saturday
428,171-4549643-0067500,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XL,Cancelled,0,,0.0,AKOLA,MAHARASHTRA,444101.0,IN,False,,,,nan,,4,2022,30,Saturday
448,407-3630361-4581152,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XS,Cancelled,0,,0.0,VELLORE,TAMIL NADU,632004.0,IN,False,,,,nan,,4,2022,30,Saturday
456,407-5524319-6977912,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XXL,Cancelled,0,,0.0,THRIPPUNITHURA,KERALA,682301.0,IN,False,,,,nan,,4,2022,30,Saturday
470,407-6861831-9368312,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,XS,Cancelled,0,,0.0,PALASBARI,ASSAM,781120.0,IN,False,,,,nan,,4,2022,30,Saturday
489,408-8960391-6097167,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,3XL,Cancelled,0,,0.0,MIRA ROAD,MAHARASHTRA,401107.0,IN,False,,,,nan,,4,2022,30,Saturday
500,405-4491602-9761902,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XXL,Cancelled,0,,0.0,Bhatgaon,CHHATTISGARH,497235.0,IN,False,,,,nan,,4,2022,30,Saturday
503,408-4378624-3886712,2022-04-30,Cancelled,Amazon,Amazon.in,Standard,Shirt,S,Cancelled,0,,0.0,GHAZIABAD,UTTAR PRADESH,201012.0,IN,False,,,,nan,,4,2022,30,Saturday
509,408-7342331-1733136,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XL,Cancelled,0,,0.0,SHRIGONDA,MAHARASHTRA,413701.0,IN,False,,,,nan,,4,2022,30,Saturday
518,407-6910434-1793162,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,S,Cancelled,0,,0.0,SAMBALPUR,ODISHA,768004.0,IN,False,,,,nan,,4,2022,30,Saturday
521,404-0553710-6997951,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XXL,Cancelled,0,,0.0,Vadodara,Gujarat,390011.0,IN,False,,,,nan,,4,2022,30,Saturday
535,407-1181422-6183500,2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,S,Cancelled,0,,0.0,MANGALURU,KARNATAKA,575002.0,IN,False,,,,nan,,4,2022,30,Saturday
